name,lat,lng,source,checked_on
신망리,38.1381889,127.0836389,https://ko.wikipedia.org/wiki/신망리역,2026-09-21
대광리,38.1834111,127.1078833,https://ko.wikipedia.org/wiki/대광리역,2026-09-21
신탄리,38.2129667,127.1396861,https://ko.wikipedia.org/wiki/신탄리역,2026-09-21
백마고지,38.257368,127.165992,https://ko.wikipedia.org/wiki/백마고지역,2026-09-21
신촌,37.55972,126.94306,https://ko.wikipedia.org/wiki/신촌역_(경의선),2026-09-21
가좌,37.5686556,126.91525,https://ko.wikipedia.org/wiki/가좌역,2026-09-21
디지털미디어시티,37.577722,126.900083,https://ko.wikipedia.org/wiki/디지털미디어시티역,2026-09-21
수색,37.5817611,126.8939472,https://ko.wikipedia.org/wiki/수색역,2026-09-21
한국항공대,37.603525,126.8677139,https://ko.wikipedia.org/wiki/한국항공대역,2026-09-21
강매,37.612194,126.843194,https://ko.wikipedia.org/wiki/강매역,2026-09-21
능곡,37.618972,126.820583,https://ko.wikipedia.org/wiki/능곡역,2026-09-21
대곡,37.630875,126.8105333,https://ko.wikipedia.org/wiki/대곡역_(고양),2026-09-21
곡산,37.645722,126.801778,https://ko.wikipedia.org/wiki/곡산역,2026-09-21
백마,37.65825,126.794444,https://ko.wikipedia.org/wiki/백마역,2026-09-21
풍산,37.672028,126.786444,https://ko.wikipedia.org/wiki/풍산역_(고양),2026-09-21
일산,37.6823417,126.7695472,https://ko.wikipedia.org/wiki/일산역,2026-09-21
탄현,37.693778,126.761056,https://ko.wikipedia.org/wiki/탄현역,2026-09-21
야당,37.71275,126.761417,https://ko.wikipedia.org/wiki/야당역,2026-09-21
운정,37.72525,126.767,https://ko.wikipedia.org/wiki/운정역,2026-09-21
금릉,37.7515,126.765222,https://ko.wikipedia.org/wiki/금릉역,2026-09-21
금촌,37.76583,126.773917,https://ko.wikipedia.org/wiki/금촌역,2026-09-21
월롱,37.796194,126.792556,https://ko.wikipedia.org/wiki/월롱역,2026-09-21
파주,37.815194,126.792806,https://ko.wikipedia.org/wiki/파주역,2026-09-21
문산,37.854556,126.787583,https://ko.wikipedia.org/wiki/문산역,2026-09-21
운천,37.8794222,126.7704556,https://ko.wikipedia.org/wiki/운천역_(파주),2026-09-21
임진강,37.88806,126.74694,https://ko.wikipedia.org/wiki/임진강역,2026-09-21
도라산,37.8985083,126.7092944,https://ko.wikipedia.org/wiki/도라산역,2026-09-21
구일,37.49611,126.86972,https://ko.wikipedia.org/wiki/구일역,2026-09-21
개봉,37.494583,126.85875,https://ko.wikipedia.org/wiki/개봉역,2026-09-21
오류동,37.494389,126.844833,https://ko.wikipedia.org/wiki/오류동역,2026-09-21
온수,37.49203,126.82304,https://ko.wikipedia.org/wiki/온수역,2026-09-21
역곡,37.485,126.81139,https://ko.wikipedia.org/wiki/역곡역,2026-09-21
소사,37.48275,126.795806,https://ko.wikipedia.org/wiki/소사역,2026-09-21
부천,37.484056,126.782528,https://ko.wikipedia.org/wiki/부천역,2026-09-21
중동,37.48667,126.764222,https://ko.wikipedia.org/wiki/중동역_(부천),2026-09-21
송내,37.487639,126.752917,https://ko.wikipedia.org/wiki/송내역,2026-09-21
부개,37.488472,126.740583,https://ko.wikipedia.org/wiki/부개역,2026-09-21
부평,37.490417,126.723472,https://ko.wikipedia.org/wiki/부평역,2026-09-21
백운,37.483528,126.707611,https://ko.wikipedia.org/wiki/백운역,2026-09-21
동암,37.470889,126.702917,https://ko.wikipedia.org/wiki/동암역,2026-09-21
간석,37.464694,126.693778,https://ko.wikipedia.org/wiki/간석역,2026-09-21
주안,37.464972,126.680639,https://ko.wikipedia.org/wiki/주안역,2026-09-21
도화,37.4661167,126.6682639,https://ko.wikipedia.org/wiki/도화역,2026-09-21
제물포,37.4667833,126.6568,https://ko.wikipedia.org/wiki/제물포역,2026-09-21
도원,37.468675,126.6423139,https://ko.wikipedia.org/wiki/도원역,2026-09-21
동인천,37.4751528,126.6328639,https://ko.wikipedia.org/wiki/동인천역,2026-09-21
인천,37.47583,126.61667,https://ko.wikipedia.org/wiki/인천역,2026-09-21
낙동강,35.3885528,128.8302306,https://ko.wikipedia.org/wiki/낙동강역,2026-09-21
한림정,35.321556,128.8035306,https://ko.wikipedia.org/wiki/한림정역,2026-09-21
진영,35.298566752,128.774117761,https://rail.blue/railroad/logis/stationinfo.aspx?id=240,2026-09-21
진례,35.2625,128.76056,https://ko.wikipedia.org/wiki/진례역,2026-09-21
창원중앙,35.2422677,128.7018634,https://ko.wikipedia.org/wiki/창원중앙역,2026-09-21
창원,35.257539,128.606526,https://ko.wikipedia.org/wiki/창원역,2026-09-21
마산,35.2358972,128.577275,https://ko.wikipedia.org/wiki/마산역,2026-09-21
중리,35.24972,128.51917,https://ko.wikipedia.org/wiki/중리역,2026-09-21
함안,35.24917,128.42472,https://ko.wikipedia.org/wiki/함안역,2026-09-21
군북,35.251528,128.350472,https://ko.wikipedia.org/wiki/군북역,2026-09-21
반성,35.17472,128.25806,https://ko.wikipedia.org/wiki/반성역,2026-09-21
진주,35.15,128.11806,https://ko.wikipedia.org/wiki/진주역,2026-09-21
완사,35.13917,127.97972,https://ko.wikipedia.org/wiki/완사역,2026-09-21
북천,35.11167,127.88361,https://ko.wikipedia.org/wiki/북천역,2026-09-21
횡천,35.09944,127.80139,https://ko.wikipedia.org/wiki/횡천역,2026-09-21
하동,35.06361,127.76167,https://ko.wikipedia.org/wiki/하동역,2026-09-21
진상,35.0165,127.7198,https://ko.wikipedia.org/wiki/진상역,2026-09-21
광양,34.95611,127.58778,https://ko.wikipedia.org/wiki/광양역,2026-09-21
평화신호장,34.94278,127.55083,https://ko.wikipedia.org/wiki/평화역,2026-09-21
순천,34.9463694,127.5022056,https://en.wikipedia.org/wiki/Suncheon_station,2026-09-21
원창,34.8658972,127.4479528,https://ko.wikipedia.org/wiki/원창역,2026-09-21
구룡(순천),34.8412611,127.4171056,https://ko.wikipedia.org/wiki/구룡역_(순천),2026-09-21
벌교,34.8418167,127.3457472,https://ko.wikipedia.org/wiki/벌교역,2026-09-21
조성,34.80222,127.25056,https://ko.wikipedia.org/wiki/조성역,2026-09-21
예당,34.7787417,127.2029278,https://ko.wikipedia.org/wiki/예당역,2026-09-21
득량,34.7615,127.1701972,https://ko.wikipedia.org/wiki/득량역,2026-09-21
보성,34.7667139,127.0826778,https://ko.wikipedia.org/wiki/보성역,2026-09-21
광곡,34.79639,127.07306,https://ko.wikipedia.org/wiki/광곡역,2026-09-21
명봉,34.8275889,127.0760778,https://ko.wikipedia.org/wiki/명봉역,2026-09-21
도림,34.86694,127.01083,https://ko.wikipedia.org/wiki/도림역,2026-09-21
이양,34.8907472,126.990025,https://ko.wikipedia.org/wiki/이양역,2026-09-21
입교,34.93306,126.985,https://ko.wikipedia.org/wiki/입교역,2026-09-21
능주,34.98806,126.95917,https://ko.wikipedia.org/wiki/능주역,2026-09-21
만수,35.018738596,126.952423967,https://rail.blue/railroad/logis/stationinfo.aspx?id=10002131,2026-09-21
화순,35.0513278,126.9619778,https://ko.wikipedia.org/wiki/화순역,2026-09-21
남평,35.06194,126.87083,https://ko.wikipedia.org/wiki/남평역,2026-09-21
효천,35.1027611,126.8766667,https://ko.wikipedia.org/wiki/효천역,2026-09-21
서광주,35.125,126.8465639,https://ko.wikipedia.org/wiki/서광주역,2026-09-21
광주송정,35.1378444,126.7902333,https://ko.wikipedia.org/wiki/광주송정역,2026-09-21
망우,37.59917,127.09222,https://ko.wikipedia.org/wiki/망우역,2026-09-21
신내,37.6129,127.1032,https://ko.wikipedia.org/wiki/신내역,2026-09-21
갈매,37.6341361,127.1148028,https://ko.wikipedia.org/wiki/갈매역,2026-09-21
별내,37.6422194,127.1272083,https://ko.wikipedia.org/wiki/별내역,2026-09-21
퇴계원,37.64833,127.14417,https://ko.wikipedia.org/wiki/퇴계원역,2026-09-21
사릉,37.65028,127.17889,https://ko.wikipedia.org/wiki/사릉역,2026-09-21
금곡,37.63306,127.20194,https://ko.wikipedia.org/wiki/금곡역_(남양주),2026-09-21
평내호평,37.65333,127.24361,https://ko.wikipedia.org/wiki/평내호평역,2026-09-21
천마산,37.6578,127.2871583,https://ko.wikipedia.org/wiki/천마산역,2026-09-21
마석,37.65222,127.31222,https://ko.wikipedia.org/wiki/마석역,2026-09-21
대성리,37.68444,127.37944,https://ko.wikipedia.org/wiki/대성리역,2026-09-21
청평,37.73528,127.42639,https://ko.wikipedia.org/wiki/청평역,2026-09-21
상천,37.76972,127.45389,https://ko.wikipedia.org/wiki/상천역,2026-09-21
가평,37.82417,127.51306,https://ko.wikipedia.org/wiki/가평역,2026-09-21
굴봉산,37.843,127.55035,https://ko.wikipedia.org/wiki/굴봉산역,2026-09-21
백양리,37.830821416,127.589090374,https://rail.blue/railroad/logis/stationinfo.aspx?id=298,2026-09-21
강촌,37.81639,127.63167,https://ko.wikipedia.org/wiki/강촌역,2026-09-21
김유정,37.81944,127.71611,https://ko.wikipedia.org/wiki/김유정역,2026-09-21
남춘천,37.86111,127.72917,https://ko.wikipedia.org/wiki/남춘천역,2026-09-21
춘천,37.8847972,127.7169083,https://ko.wikipedia.org/wiki/춘천역,2026-09-21
범계,37.38965,126.9506139,https://ko.wikipedia.org/wiki/범계역,2026-09-21
평촌,37.3942972,126.9638472,https://ko.wikipedia.org/wiki/평촌역,2026-09-21
인덕원,37.401639,126.97667,https://ko.wikipedia.org/wiki/인덕원역,2026-09-21
과천정보타운,37.4125,126.97944,https://ko.wikipedia.org/wiki/과천정보타운역,2026-09-21
정부과천청사,37.426472,126.989917,https://ko.wikipedia.org/wiki/정부과천청사역,2026-09-21
과천,37.43306,126.99694,https://ko.wikipedia.org/wiki/과천역,2026-09-21
대공원,37.43556,127.00639,https://ko.wikipedia.org/wiki/대공원역_(과천),2026-09-21
경마공원,37.44417,127.00778,https://ko.wikipedia.org/wiki/경마공원역,2026-09-21
선바위,37.451861,127.002139,https://ko.wikipedia.org/wiki/선바위역,2026-09-21
남태령,37.46389,126.98917,https://ko.wikipedia.org/wiki/남태령역,2026-09-21
초남,34.92972,127.60861,https://ko.wikipedia.org/wiki/초남역,2026-09-21
황길,34.91889,127.66222,https://ko.wikipedia.org/wiki/황길역,2026-09-21
태금,34.93056,127.71528,https://ko.wikipedia.org/wiki/태금역,2026-09-21
광양항,34.92306,127.68583,https://ko.wikipedia.org/wiki/광양항역,2026-09-21
극락강,35.176181,126.830588,https://ko.wikipedia.org/wiki/극락강역,2026-09-21
광주,35.165317,126.909188,https://ko.wikipedia.org/wiki/광주역,2026-09-21
부조,36.00194,129.2825,https://ko.wikipedia.org/wiki/부조역,2026-09-21
효자,36.0075,129.33361,https://ko.wikipedia.org/wiki/효자역_(포항),2026-09-21
괴동,35.996571,129.375064,https://ko.wikipedia.org/wiki/괴동역,2026-09-21
대정,37.64111,126.82111,https://ko.wikipedia.org/wiki/대정역,2026-09-21
원릉,37.6625,126.83972,https://ko.wikipedia.org/wiki/원릉역,2026-09-21
삼릉,37.67861,126.85028,https://ko.wikipedia.org/wiki/삼릉역,2026-09-21
벽제,37.68028,126.89361,https://ko.wikipedia.org/wiki/벽제역,2026-09-21
일영,37.70056,126.92917,https://ko.wikipedia.org/wiki/일영역,2026-09-21
장흥,37.71861,126.94139,https://ko.wikipedia.org/wiki/장흥역_(양주),2026-09-21
온릉,37.71833,126.94889,https://ko.wikipedia.org/wiki/온릉역,2026-09-21
송추,37.72083,126.97972,https://ko.wikipedia.org/wiki/송추역,2026-09-21
대야,35.94472,126.82389,https://ko.wikipedia.org/wiki/대야역,2026-09-21
군산옥산,35.94306,126.73639,https://ko.wikipedia.org/wiki/군산옥산신호장,2026-09-21
군산항,35.9725,126.56111,https://ko.wikipedia.org/wiki/군산항역,2026-09-21
개정,35.96194,126.76778,https://ko.wikipedia.org/wiki/개정역,2026-09-21
군산화물,35.9802139,126.7207917,https://ko.wikipedia.org/wiki/군산화물역,2026-09-21
금강,35.8625,128.73722,https://ko.wikipedia.org/wiki/금강역,2026-09-21
청천,35.8801722,128.7672694,https://ko.wikipedia.org/wiki/청천역,2026-09-21
하양,35.909111,128.81835,https://ko.wikipedia.org/wiki/하양역,2026-09-21
금호,35.9317333,128.8688556,https://ko.wikipedia.org/wiki/금호역_(영천),2026-09-21
봉정,35.92833,128.90917,https://ko.wikipedia.org/wiki/봉정역,2026-09-21
영천,35.959512,128.939282,https://ko.wikipedia.org/wiki/영천역,2026-09-21
일로,34.8474944,126.47655,https://ko.wikipedia.org/wiki/일로역,2026-09-21
대불,34.77333,126.41889,https://ko.wikipedia.org/wiki/대불역,2026-09-21
용강,35.27111,128.63917,https://ko.wikipedia.org/wiki/용강신호소,2026-09-21
덕산,35.28083,128.68806,https://ko.wikipedia.org/wiki/덕산역,2026-09-21
